"","Minutes","NClxT","TPsum","avNcycT","avSPLT","kHz125ileT","kHzMedianT","kHz875ileT","kHzModeT","percentupT","avUpT","percentdownT","avDownT","Clks_s_25ile","Clks_s_median","Clks_s_75ile","Clks_s_mode","HiQ","ModQ","Season","Random","FMA"
"114",69,13812,42234913,9,39,121,129,136,132,30,8,63,8,48,86,196,252,5237,8575,"Spring",0.3924291095,"IId"
"115",48,4661,14228446,8,43,120,128,136,125,41,9,53,7,57,115,208,252,1434,3227,"Spring",0.6659300201,"IId"
"116",46,8438,35764964,10,45,121,129,137,136,31,8,63,8,32,51,124,32,2119,6319,"Spring",0.8883803915,"IId"
"117",10,626,1037418,6,31,126,125,45,5,45,5,129,252,369,257,0,252,369,257,"Winter",0.1202099069,"FMAII"
"118",3,54,170973,6,39,129,131,20,6,66,4,54,54,0,54,0,54,0,54,"Winter",0.6643873346,"FMAII"
"119",23,298,2911625,6,37,126,126,14,4,78,5,27,25,0,298,0,25,0,298,"Fall",0.1839148459,"FMAII"
"120",3,54,170973,6,39,129,131,20,6,66,4,54,54,0,54,0,54,0,54,"Winter",0.6643873346,"FMAII"
"121",14,1056,4922037,7,75,130,132,24,7,68,7,58,78,400,656,0,78,400,656,"Winter",0.2010971102,"FMAII"
"122",20,203,1073575,7,29,130,129,17,5,78,5,39,26,0,203,0,26,0,203,"Winter",0.9970270389,"FMAII"
"123",14,860,4400156,8,34,132,135,25,4,67,6,83,94,266,594,19,94,266,594,"Winter",0.02326854897,"FMAII"
"124",6,104,660356,8,35,128,128,25,3,67,6,45,23,0,104,0,23,0,104,"Winter",0.7820423684,"FMAII"
"125",10,626,1037418,6,31,126,125,45,5,45,5,129,252,369,257,0,252,369,257,"Winter",0.1202099069,"FMAII"
"126",1,92,6764912,5,97,114,113,47,8,41,6,43,3.5,0,92,12,3.5,0,92,"Winter",0.3375363117,"FMAII"
"127",7,81,352795,8,37,127,128,13,4,79,7,40,37,0,81,0,37,0,81,"Winter",0.1792700901,"FMAII"
"128",14,860,4400156,8,34,132,135,25,4,67,6,83,94,266,594,19,94,266,594,"Winter",0.02326854897,"FMAII"
"129",21,642,3054036,7,83,131,135,30,5,60,6,58,61,313,329,0,61,313,329,"Winter",0.2555654494,"FMAII"
"130",35,1505,7587121,8,42,131,132,20,6,74,7,70,71,562,943,20,71,562,943,"Winter",0.5362246951,"FMAII"
"131",9,257,1003212,12,32,131,129,28,5,67,7,81,81,122,135,0,81,122,135,"Winter",0.1166107721,"FMAII"
"132",14,454,2984003,7,28,132,132,16,4,78,5,48,23,40,414,0,23,40,414,"Winter",0.2455289554,"FMAII"
"133",32,824,2526052,7,35,130,130,21,5,70,6,69,65,299,525,0,65,299,525,"Winter",0.03560091148,"FMAII"
"134",21,1831,14175939,8,35,132,132,20,5,74,6,65,66,736,1095,19,66,736,1095,"Winter",0.8109367623,"FMAII"
"135",9,257,1003212,12,32,131,129,28,5,67,7,81,81,122,135,0,81,122,135,"Winter",0.1166107721,"FMAII"
"136",21,642,3054036,7,83,131,135,30,5,60,6,58,61,313,329,0,61,313,329,"Winter",0.2555654494,"FMAII"
"137",1,92,6764912,5,97,114,113,47,8,41,6,43,3.5,0,92,12,3.5,0,92,"Winter",0.3375363117,"FMAII"
"138",9,286,1299567,6,34,128,128,6,2,87,5,53,57,79,207,0,57,79,207,"Winter",0.1658053669,"FMAII"
"139",1,5,13706,5,52,129,129,20,1,80,1,58,58,0,5,0,58,0,5,"Winter",0.496187042,"FMAII"
"140",6,133,675196,6,28,129,129,22,5,75,5,35,31,0,133,0,31,0,133,"Winter",0.0865323998,"FMAII"
"141",13,72,337093,6,21,133,134,27,4,69,5,40,40,39,33,0,40,39,33,"Winter",0.5133468725,"FMAII"
"142",14,860,4400156,8,34,132,135,25,4,67,6,83,94,266,594,19,94,266,594,"Winter",0.02326854897,"FMAII"
"143",6,104,660356,8,35,128,128,25,3,67,6,45,23,0,104,0,23,0,104,"Winter",0.7820423684,"FMAII"
"144",1,6,27168,5,18,129,129,50,4,50,1,37,37,0,6,0,37,0,6,"Winter",0.6513729913,"FMAII"
"145",9,230,1298017,6,23,129,129,22,6,66,5,41,56,0,230,0,56,0,230,"Summer",0.5908884445,"FMAII"
"146",13,72,337093,6,21,133,134,27,4,69,5,40,40,39,33,0,40,39,33,"Winter",0.5133468725,"FMAII"
"147",1,5,25903,9,16,132,132,0,0,100,9,31,31,0,5,0,31,0,5,"Winter",0.4280649062,"FMAII"
"148",3,102,756338,6,33,129,130,7,9,84,4,29,37,28,74,0,37,28,74,"Fall",0.6850514216,"FMAII"
"149",1,5,42447,6,45,131,132,0,0,100,5,19,19,0,5,0,19,0,5,"Winter",0.2916161532,"FMAII"
"150",35,1505,7587121,8,42,131,132,20,6,74,7,70,71,562,943,20,71,562,943,"Winter",0.5362246951,"FMAII"
"151",20,182,792464,6,18,129,132,10,5,83,6,44,35,0,182,0,35,0,182,"Winter",0.5692110364,"FMAII"
"152",20,203,1073575,7,29,130,129,17,5,78,5,39,26,0,203,0,26,0,203,"Winter",0.9970270389,"FMAII"
"153",21,1831,14175939,8,35,132,132,20,5,74,6,65,66,736,1095,19,66,736,1095,"Winter",0.8109367623,"FMAII"
"154",35,2411,14867167,8,36,128,129,23,5,71,6,49,43,391,2020,9,43,391,2020,"Winter",0.6473274309,"FMAII"
"155",13,72,337093,6,21,133,134,27,4,69,5,40,40,39,33,0,40,39,33,"Winter",0.5133468725,"FMAII"
"156",3,102,756338,6,33,129,130,7,9,84,4,29,37,28,74,0,37,28,74,"Fall",0.6850514216,"FMAII"
"157",6,133,675196,6,28,129,129,22,5,75,5,35,31,0,133,0,31,0,133,"Winter",0.0865323998,"FMAII"
"158",41,2111,7428996,6,27,129,129,24,6,68,5,61,44,611,1500,0,44,611,1500,"Winter",0.98066561,"FMAII"
"159",4,48,232653,6,22,127,121,18,3,77,6,35,32,0,48,0,32,0,48,"Winter",0.107937389,"FMAII"
"160",6,28,127675,8,20,128,131,21,5,78,5,38,51,0,28,0,51,0,28,"Winter",0.0818744116,"FMAII"
"161",1,7,8892,5,34,128,128,28,2,14,1,135,135,0,7,0,135,0,7,"Winter",0.865538769,"FMAII"
"162",12,19,69800,5,34,127,127,31,2,57,4,50,50,0,19,0,50,0,19,"Winter",0.3888768245,"FMAII"
"163",1,5,25903,9,16,132,132,0,0,100,9,31,31,0,5,0,31,0,5,"Winter",0.4280649062,"FMAII"
"164",1,92,6764912,5,97,114,113,47,8,41,6,43,3.5,0,92,12,3.5,0,92,"Winter",0.3375363117,"FMAII"
"165",12,19,69800,5,34,127,127,31,2,57,4,50,50,0,19,0,50,0,19,"Winter",0.3888768245,"FMAII"
"166",1,6,27168,5,18,129,129,50,4,50,1,37,37,0,6,0,37,0,6,"Winter",0.6513729913,"FMAII"
"167",14,1056,4922037,7,75,130,132,24,7,68,7,58,78,400,656,0,78,400,656,"Winter",0.2010971102,"FMAII"
"168",13,140,536284,8,31,128,123,21,5,72,7,102,33,28,112,0,33,28,112,"Winter",0.09269742697,"FMAII"
"169",6,104,660356,8,35,128,128,25,3,67,6,45,23,0,104,0,23,0,104,"Winter",0.7820423684,"FMAII"
"170",9,230,1298017,6,23,129,129,22,6,66,5,41,56,0,230,0,56,0,230,"Summer",0.5908884445,"FMAII"
"171",11,247,1039742,7,23,130,131,32,6,62,5,45,40,87,160,0,40,87,160,"Winter",0.1920810318,"FMAII"
"172",10,252,1270725,7,33,133,135,13,5,76,5,47,48,109,143,0,48,109,143,"Winter",0.9067840146,"FMAII"
"173",35,1505,7587121,8,42,131,132,20,6,74,7,70,71,562,943,20,71,562,943,"Winter",0.5362246951,"FMAII"
"174",9,286,1299567,6,34,128,128,6,2,87,5,53,57,79,207,0,57,79,207,"Winter",0.1658053669,"FMAII"
"175",20,182,792464,6,18,129,132,10,5,83,6,44,35,0,182,0,35,0,182,"Winter",0.5692110364,"FMAII"
"176",14,860,4400156,8,34,132,135,25,4,67,6,83,94,266,594,19,94,266,594,"Winter",0.02326854897,"FMAII"
"177",11,516,1759829,7,30,130,130,25,6,67,5,55,44,72,444,0,44,72,444,"Winter",0.6451162238,"FMAII"
"178",5,640,2750099,7,27,133,132,19,6,73,5,48,39,129,511,0,39,129,511,"Winter",0.7460994072,"FMAII"
"179",12,19,69800,5,34,127,127,31,2,57,4,50,50,0,19,0,50,0,19,"Winter",0.3888768245,"FMAII"
"180",24,192,475112,6,23,127,127,31,6,64,5,82,64,0,192,0,64,0,192,"Winter",0.2324039921,"FMAII"
"181",12,19,69800,5,34,127,127,31,2,57,4,50,50,0,19,0,50,0,19,"Winter",0.3888768245,"FMAII"
"182",13,140,536284,8,31,128,123,21,5,72,7,102,33,28,112,0,33,28,112,"Winter",0.09269742697,"FMAII"
"183",14,860,4400156,8,34,132,135,25,4,67,6,83,94,266,594,19,94,266,594,"Winter",0.02326854897,"FMAII"
"184",1,98,491168,6,24,132,132,12,4,80,5,60,61,18,80,11,61,18,80,"Winter",0.9702003147,"FMAII"
"185",20,182,792464,6,18,129,132,10,5,83,6,44,35,0,182,0,35,0,182,"Winter",0.5692110364,"FMAII"
"186",7,81,352795,8,37,127,128,13,4,79,7,40,37,0,81,0,37,0,81,"Winter",0.1792700901,"FMAII"
"187",1,15,86719,7,35,128,127,33,7,53,7,35,35,0,15,0,35,0,15,"Winter",0.823519485,"FMAII"
"188",4,48,232653,6,22,127,121,18,3,77,6,35,32,0,48,0,32,0,48,"Winter",0.107937389,"FMAII"
"189",20,182,792464,6,18,129,132,10,5,83,6,44,35,0,182,0,35,0,182,"Winter",0.5692110364,"FMAII"
"190",11,247,1039742,7,23,130,131,32,6,62,5,45,40,87,160,0,40,87,160,"Winter",0.1920810318,"FMAII"
"191",28,328,5734269,8,21,130,130,25,4,70,7,47,45,33,295,3,45,33,295,"Winter",0.5272461909,"FMAII"
"192",6,123,665699,7,19,130,131,18,6,75,6,47,44,0,123,2,44,0,123,"Winter",0.1557313514,"FMAII"
"193",1,5,42447,6,45,131,132,0,0,100,5,19,19,0,5,0,19,0,5,"Winter",0.2916161532,"FMAII"
"194",14,860,4400156,8,34,132,135,25,4,67,6,83,94,266,594,19,94,266,594,"Winter",0.02326854897,"FMAII"
"195",11,101,349425,6,26,132,133,14,5,79,6,56,56,11,90,0,56,11,90,"Winter",0.3283648558,"FMAII"
"196",1,5,13706,5,52,129,129,20,1,80,1,58,58,0,5,0,58,0,5,"Winter",0.496187042,"FMAII"
"197",1,6,27168,5,18,129,129,50,4,50,1,37,37,0,6,0,37,0,6,"Winter",0.6513729913,"FMAII"
"198",9,286,1299567,6,34,128,128,6,2,87,5,53,57,79,207,0,57,79,207,"Winter",0.1658053669,"FMAII"
"199",20,182,792464,6,18,129,132,10,5,83,6,44,35,0,182,0,35,0,182,"Winter",0.5692110364,"FMAII"
"200",9,257,1003212,12,32,131,129,28,5,67,7,81,81,122,135,0,81,122,135,"Winter",0.1166107721,"FMAII"
"201",32,824,2526052,7,35,130,130,21,5,70,6,69,65,299,525,0,65,299,525,"Winter",0.03560091148,"FMAII"
